chr2L	10018	high-redundant	7mer-m8	377
chr2L	10122	high-redundant	7mer-a1	2
chr2L	10733	high-redundant	7mer-m8	380
chr2L	71218	low-redundant	7mer-a1	2
chr2L	71380	miR->non-TF	7mer-a1	392
chr2L	102121	low-redundant	7mer-m8	2
chr2L	104004	low-redundant	8mer	392
chr2L	104207	low-redundant	7mer-m8	24
chr2L	113857	high-redundant	7mer-m8	2
chr2L	113857	high-redundant	7mer-a1	2
chr2L	113857	miR->non-TF	7mer-m8	2
chr2L	113857	miR->non-TF	8mer	2
chr2L	115504	low-redundant	7mer-m8	388
chr2L	115686	low-redundant	8mer	356
chr2L	117301	high-redundant	7mer-a1	2
chr2L	117303	high-redundant	7mer-a1	18
chr2L	118040	high-redundant	7mer-m8	2
chr2L	118766	high-redundant	7mer-a1	2
chr2L	122820	low-redundant	7mer-a1	384
chr2L	123072	low-redundant	7mer-a1	4
chr2L	133928	low-redundant	7mer-a1	6
chr2L	139125	low-redundant	7mer-m8	2
chr2L	157692	low-redundant	7mer-a1	392
chr2L	202128	high-redundant	7mer-m8	6
chr2L	202216	high-redundant	7mer-a1	2
chr2L	211179	high-redundant	7mer-a1	12
chr2L	260371	high-redundant	7mer-m8	388
chr2L	261283	high-redundant	7mer-a1	338
chr2L	261283	high-redundant	7mer-m8	338
chr2L	261570	high-redundant	8mer	2
chr2L	261586	high-redundant	7mer-a1	4
chr2L	261870	high-redundant	7mer-a1	127
chr2L	262807	high-redundant	7mer-a1	2
chr2L	263251	miR->non-TF	7mer-m8	392
chr2L	263253	miR->non-TF	7mer-m8	52
chr2L	271509	low-redundant	7mer-a1	4
chr2L	271509	miR->non-TF	7mer-m8	4
chr2L	271511	low-redundant	7mer-a1	2
chr2L	271511	miR->non-TF	7mer-m8	2
chr2L	281545	high-redundant	7mer-a1	14
chr2L	281545	miR->non-TF	7mer-a1	14
chr2L	281545	high-redundant	7mer-a1	14
chr2L	281944	high-redundant	7mer-a1	48
chr2L	281944	miR->non-TF	8mer	48
chr2L	283729	low-redundant	7mer-m8	100
chr2L	293289	low-redundant	7mer-m8	388
chr2L	302795	high-redundant	7mer-m8	330
chr2L	302796	high-redundant	7mer-m8	330
chr2L	304150	high-redundant	7mer-m8	66
chr2L	345685	miR->non-TF	7mer-a1	8
chr2L	345713	high-redundant	7mer-a1	14
chr2L	346318	miR->non-TF	7mer-m8	390
chr2L	346319	miR->non-TF	7mer-m8	390
chr2L	346465	high-redundant	7mer-a1	382
chr2L	346620	high-redundant	7mer-a1	14
chr2L	346622	high-redundant	7mer-a1	2
chr2L	346901	high-redundant	8mer	6
chr2L	346974	miR->non-TF	7mer-a1	1
chr2L	347246	high-redundant	7mer-a1	78
chr2L	347604	high-redundant	7mer-a1	4
chr2L	347739	miR->non-TF	7mer-a1	79
chr2L	355490	miR->non-TF	7mer-a1	4
chr2L	355495	miR->non-TF	7mer-a1	2
chr2L	355814	low-redundant	8mer	2
chr2L	355814	low-redundant	7mer-m8	2
chr2L	355883	low-redundant	7mer-m8	42
chr2L	408062	miR->non-TF	7mer-m8	15
chr2L	408714	high-redundant	7mer-a1	6
chr2L	408738	miR->non-TF	7mer-a1	143
chr2L	408740	miR->non-TF	7mer-a1	2
chr2L	408741	miR->non-TF	7mer-a1	392
chr2L	409132	high-redundant	8mer	100
chr2L	417786	high-redundant	8mer	392
chr2L	418005	high-redundant	8mer	2
chr2L	418174	high-redundant	7mer-m8	390
chr2L	420673	low-redundant	7mer-m8	14
chr2L	420769	low-redundant	7mer-a1	6
chr2L	422489	low-redundant	7mer-a1	392
chr2L	422517	low-redundant	7mer-m8	308
chr2L	447364	high-redundant	7mer-m8	4
chr2L	447663	high-redundant	7mer-a1	10
chr2L	447806	high-redundant	7mer-a1	6
chr2L	448085	high-redundant	7mer-a1	6
chr2L	448085	high-redundant	8mer	6
chr2L	448562	high-redundant	8mer	382
